contrast,mean_paired_auroc_difference,paired_difference_sample_sd,seed7,seed17,seed27,ordinary_lower,ordinary_upper,bonferroni_lower,bonferroni_upper,undefined_draw_count,scope_id,inputs_sha256
G_stack_minus_S_stack,0.0005287172372867207,0.001724350534330662,0.0013477152759854283,0.0016909422473719848,-0.0014525058114972511,-0.0020954544476696414,0.003275089714321385,-0.003004652263909347,0.004158604512959984,0,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_mean_minus_S_mean,0.0003356036758220826,0.0015708843101350945,0.0005913116407098018,0.0017629466562573137,-0.0013474472695008677,-0.0018739297020585225,0.002607483113358243,-0.002799799440123709,0.003409067497914271,0,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_stack_minus_H_stack,0.01276958586178841,0.0038104782034448638,0.010498082011592302,0.017168763415399635,0.01064191215837329,0.008373367694345315,0.01717439877379164,0.007027456562052528,0.018884093108930054,0,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_mean_minus_H_mean,0.0335866917747053,0.002810365911356644,0.035572411376732394,0.030371030857462622,0.03481663308992089,0.026575609331684326,0.04079032615946048,0.024243956479070582,0.04321614444228257,0,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_stack_minus_O,0.012763615272879577,0.0038651633405006208,0.01533059627244071,0.014641998277790336,0.008318251268407684,0.008033097831393696,0.017550362650293694,0.006518629428501131,0.019091715165618566,0,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
G_mean_minus_O,0.013187065518681726,0.0040102545281901405,0.01547782116802765,0.015526866354725,0.008556509033292525,0.008384511604540618,0.01803811854337063,0.006878908557327501,0.019715026650509494,0,final_comparison_20260916_fixed20,b51ad29f90453bc6c3554df75b98ee7579eea33c14c0903589c2451d20a65fe6
